"season"	"week_num"	"day_of_week"	"gametime_local"	"home_team"	"away_team"	"home_score"	"away_score"	"OT_flag"	"arrests"	"division_game"
"455"	2015	2	"Sunday"	"4:05:00 PM"	"Jacksonville"	"123Miami"	23	20	""	2	"n"
"605"	2015	5	"Sunday"	"8:30:00 PM"	"New York Giants"	"San Francisco"	30	27	""	26	"n"
"10"	2012	3	"Sunday"	"1:05:00 PM"	"Arizona"	"Philadelphia"	27	6	""	12	"n"
"34"	2015	3	"Sunday"	"1:05:00 PM"	"Arizona"	"San Francisco"	47	7	""	10	"y"
"142"	2014	15	"Monday"	"7:30:00 PM"	"Chicago"	"New Orleans"	15	31	""	2	"n"
"677"	2014	7	"Sunday"	"1:25:00 PM"	"Oakland"	"Arizona"	13	24	""	25	"n"
"525"	2015	7	"Sunday"	"1:00:00 PM"	"Miami"	"Houston"	44	26	""	1	"n"
"288"	2014	1	"Monday"	"7:10:00 PM"	"Detroit"	"New York Giants"	35	14	""	NA	"n"
"126"	2012	13	"Sunday"	"12:00:00 PM"	"Chicago"	"Seattle"	17	23	"OT"	0	"n"
"477"	2013	2	"Sunday"	"12:00:00 PM"	"Kansas City"	"Dallas"	17	16	""	4	"n"
"206"	2013	15	"Sunday"	"3:25:00 PM"	"Dallas"	"Green Bay"	36	37	""	5	"n"
"991"	2014	2	"Sunday"	"1:00:00 PM"	"Washington"	"Jacksonville"	41	10	""	2	"n"
"205"	2013	13	"Thursday"	"3:30:00 PM"	"Dallas"	"Oakland"	31	24	""	8	"n"
"910"	2013	15	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"San Francisco"	14	33	""	1	"n"
"63"	2014	17	"Sunday"	"1:00:00 PM"	"Baltimore"	"Cleveland"	20	10	""	0	"y"
"198"	2012	15	"Sunday"	"3:25:00 PM"	"Dallas"	"Pittsburgh"	27	24	"OT"	13	"n"
"555"	2014	3	"Sunday"	"1:00:00 PM"	"New England"	"Oakland"	16	9	""	7	"n"
"776"	2012	2	"Sunday"	"1:25:00 PM"	"San Diego"	"Tennessee"	38	10	""	23	"n"
"691"	2011	9	"Monday"	"8:30:00 PM"	"Philadelphia"	"Chicago"	24	30	""	2	"n"
"166"	2013	16	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Minnesota"	42	14	""	0	"n"
"614"	2011	7	"Sunday"	"1:00:00 PM"	"New York Jets"	"San Diego"	27	21	""	20	"n"
"889"	2011	3	"Sunday"	"4:15:00 PM"	"Tampa Bay"	"Atlanta"	16	13	""	2	"y"
"410"	2014	5	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Baltimore"	20	13	""	0	"n"
"297"	2015	5	"Sunday"	"4:05:00 PM"	"Detroit"	"Arizona"	17	42	""	NA	"n"
"927"	2011	2	"Sunday"	"12:00:00 PM"	"Tennessee"	"Baltimore"	26	13	""	0	"n"
